#uplink	channel	Gain correction
80	0	0.69956046
80	1	1.4702167706
80	2	1.0057337866
80	3	1.1802827476
80	4	1.2425481819
80	5	0.6116245908
80	6	1.0682871932
80	7	1.2127678473
80	8	0.687508648
80	9	1.0125737601
80	10	1.046657799
80	11	1.1433439027
80	12	1.2920162989
80	13	1.2524579753
80	14	1.2121093043
80	15	0.65768945
80	16	0.4711600877
80	17	0.8467611131
80	18	0.9109487453
80	19	0.9352431136
80	20	0.6281713753
80	21	1.1040697221
80	22	0.9768527373
80	23	0.9142382357
80	24	1.0412139069
80	25	0.9969137088
80	26	1.0810046488
80	27	0.9184991412
80	28	0.7637650407
80	29	1.1342059366
80	30	1.1419228674
80	31	0.9870842365
80	32	0.3797603249
80	33	0.9438496799
80	34	0.7097951334
80	35	0.8237742176
80	36	0.9452938626
80	37	0.4758946296
80	38	0.574362111
80	39	0.4945773629
80	40	0.357249121
80	41	0.9481865928
80	42	0.5177706999
80	43	0.6244992444
80	44	0.5686997251
80	45	0.5715172867
80	46	0.8770717194
80	47	0.644144113
80	48	1.1361517603
80	49	0.5869640052
80	50	1.0131190192
80	51	1.1136276024
80	52	0.9602146611
80	53	0.5698433562
80	54	0.9718713578
80	55	0.7463743266
80	56	0.6245764115
80	57	0.5059880911
80	58	0.9291010299
80	59	0.4636605507
80	60	1.0421871445
80	61	1.3375262642
80	62	0.4752531586
80	63	0.4880058177
81	0	0.3954846877
81	1	0.6265981616
81	2	0.7372490066
81	3	0.6944522323
81	4	0.795561798
81	5	0.6547750834
81	6	0.6489231277
81	7	1.2380856515
81	8	0.6594398854
81	9	0.9679630791
81	10	0.6581252648
81	11	0.8586627983
81	12	1.5600944313
81	13	0.7535075775
81	14	0.8174605577
81	15	0.7930064614
81	16	0.9607600566
81	17	0.6381826557
81	18	0.780054575
81	19	0.6994610649
81	20	0.9653637599
81	21	1.230291558
81	22	0.9147335591
81	23	0.6447073596
81	24	0.8700649136
81	25	0.7180785132
81	26	0.6626688076
81	27	0.5447887792
81	28	0.5461368078
81	29	0.5928003034
81	30	0.5210993333
81	31	0.3503616142
81	32	0.1233403323
81	33	1.1065659604
81	34	0.8836833205
81	35	0.7692180335
81	36	0.9435917999
81	37	1.0315948221
81	38	0.982550466
81	39	0.5584334218
81	40	0.6242838158
81	41	0.5835244441
81	42	1.1151668159
81	43	0.58027342
81	44	0.81442484
81	45	0.692705377
81	46	0.8392511864
81	47	0.5788066175
81	48	1.2459444949
81	49	0.7430327521
81	50	0.7831712417
81	51	0.4480389165
81	52	1.3525890583
81	53	1.0615030666
81	54	1.0122057673
81	55	1.0892102148
81	56	0.6807813073
81	57	0.6729320213
81	58	0.7062025848
81	59	1.1762915365
81	60	0.7785070558
81	61	0.7814715505
81	62	0.5287156125
81	63	0.2583790974
82	0	1
82	1	1
82	2	1
82	3	1
82	4	1
82	5	1
82	6	1
82	7	1
82	8	1
82	9	1
82	10	1
82	11	1
82	12	1
82	13	1
82	14	1
82	15	1
82	16	1
82	17	1
82	18	1
82	19	1
82	20	1
82	21	1
82	22	1
82	23	1
82	24	1
82	25	1
82	26	1
82	27	1
82	28	1
82	29	1
82	30	1
82	31	1
82	32	1
82	33	1
82	34	1
82	35	1
82	36	1
82	37	1
82	38	1
82	39	1
82	40	1
82	41	1
82	42	1
82	43	1
82	44	1
82	45	1
82	46	1
82	47	1
82	48	1
82	49	1
82	50	1
82	51	1
82	52	1
82	53	1
82	54	1
82	55	1
82	56	1
82	57	1
82	58	1
82	59	1
82	60	1
82	61	1
82	62	1
82	63	1
83	0	1
83	1	1
83	2	1
83	3	1
83	4	1
83	5	1
83	6	1
83	7	1
83	8	1
83	9	1
83	10	1
83	11	1
83	12	1
83	13	1
83	14	1
83	15	1
83	16	1
83	17	1
83	18	1
83	19	1
83	20	1
83	21	1
83	22	1
83	23	1
83	24	1
83	25	1
83	26	1
83	27	1
83	28	1
83	29	1
83	30	1
83	31	1
83	32	1
83	33	1
83	34	1
83	35	1
83	36	1
83	37	1
83	38	1
83	39	1
83	40	1
83	41	1
83	42	1
83	43	1
83	44	1
83	45	1
83	46	1
83	47	1
83	48	1
83	49	1
83	50	1
83	51	1
83	52	1
83	53	1
83	54	1
83	55	1
83	56	1
83	57	1
83	58	1
83	59	1
83	60	1
83	61	1
83	62	1
83	63	1
84	0	0.3934342467
84	1	1.4569011031
84	2	0.302366352
84	3	1.0406579841
84	4	1.0831806515
84	5	0.6407435905
84	6	1.3635281576
84	7	1.0161654592
84	8	1.5018657562
84	9	1.4637581593
84	10	1.2624670569
84	11	1.1475201408
84	12	1.0655804542
84	13	1.8835489705
84	14	1.1780835154
84	15	1.3845023328
84	16	1.0981240069
84	17	1.0054635087
84	18	0.9955361037
84	19	1.2424175317
84	20	1.1510116733
84	21	0.8079528881
84	22	1.0589501966
84	23	1.0284001764
84	24	0.3171414208
84	25	0.8717498568
84	26	1.1281424485
84	27	1.180231871
84	28	1.8258362271
84	29	1.4374213255
84	30	1.5698726701
84	31	0.5721839375
84	32	1.7402013599
84	33	1.6803201872
84	34	1.6134374419
84	35	1.2409273846
84	36	1.778094674
84	37	1.5020573207
84	38	1.8601314455
84	39	0.8851743656
84	40	1.5048584394
84	41	1.7585597125
84	42	1.1751733503
84	43	0.7699734882
84	44	1.6043594482
84	45	1.6122245839
84	46	1.7933847146
84	47	0.9210857212
84	48	1.8426962213
84	49	1.0134861386
84	50	1.1001807545
84	51	0.9621404722
84	52	1.8348998567
84	53	1.6262109154
84	54	1.9630686842
84	55	0.8833920349
84	56	1.8400752073
84	57	1.8426311738
84	58	1.1006936746
84	59	1.2079702546
84	60	1.6275942792
84	61	0.6831113216
84	62	1.4361488476
84	63	1.8049580102
85	0	0.6506466174
85	1	1.2496015676
85	2	1.1311267031
85	3	0.7852268138
85	4	0.8917420393
85	5	0.9695503731
85	6	1.2542750581
85	7	1.0642516059
85	8	1.2365029239
85	9	0.9212501015
85	10	0.7490831064
85	11	0.6055350701
85	12	0.8933736201
85	13	1.0493102333
85	14	1.1333654345
85	15	0.744181395
85	16	1.0680988276
85	17	0.873879602
85	18	0.7855224231
85	19	0.9006317445
85	20	0.4433013882
85	21	0.9144378267
85	22	0.5960105049
85	23	0.6412458313
85	24	0.6960216646
85	25	0.8413660848
85	26	0.5836664976
85	27	0.8536567201
85	28	0.7870551989
85	29	0.7233176065
85	30	0.8514556728
85	31	0.865331342
85	32	0.754773613
85	33	0.7030617546
85	34	0.6786351572
85	35	0.7036645055
85	36	0.7648717468
85	37	0.8098689343
85	38	0.7082052013
85	39	0.8001483008
85	40	0.8156295776
85	41	0.7594578219
85	42	0.8314812126
85	43	0.6986272219
85	44	0.8188988249
