#uplink	channel	x [mm]	y [mm]	stairs	sensor
0	0	0	900	10	1
0	1	30	900	10	2
0	2	60	900	10	3
0	3	90	900	10	4
0	4	120	900	10	5
0	5	150	900	10	6
0	6	180	900	10	7
0	7	210	900	10	8
0	8	240	900	10	9
0	9	270	900	10	10
0	10	300	900	10	11
0	11	330	900	10	12
0	12	360	900	10	13
0	13	390	900	10	14
0	14	420	900	10	15
0	15	450	900	10	16
0	16	480	900	10	17
0	17	510	900	10	18
0	18	540	900	10	19
0	19	570	900	10	20
0	20	600	900	10	21
0	21	630	900	10	22
0	22	660	900	10	23
0	23	690	900	10	24
0	24	720	900	10	25
0	25	750	900	10	26
0	26	780	900	10	27
0	27	810	900	10	28
0	28	840	900	10	29
0	29	870	900	10	30
0	30	900	900	10	31
0	31	930	900	10	32
0	32	0	800	9	1
0	33	30	800	9	2
0	34	60	800	9	3
0	35	90	800	9	4
0	36	120	800	9	5
0	37	150	800	9	6
0	38	180	800	9	7
0	39	210	800	9	8
0	40	240	800	9	9
0	41	270	800	9	10
0	42	300	800	9	11
0	43	330	800	9	12
0	44	360	800	9	13
0	45	390	800	9	14
0	46	420	800	9	15
0	47	450	800	9	16
0	48	480	800	9	17
0	49	510	800	9	18
0	50	540	800	9	19
0	51	570	800	9	20
0	52	600	800	9	21
0	53	630	800	9	22
0	54	660	800	9	23
0	55	690	800	9	24
0	56	720	800	9	25
0	57	750	800	9	26
0	58	780	800	9	27
0	59	810	800	9	28
0	60	840	800	9	29
0	61	870	800	9	30
0	62	900	800	9	31
0	63	930	800	9	32
1	0	0	700	8	1
1	1	30	700	8	2
1	2	60	700	8	3
1	3	90	700	8	4
1	4	120	700	8	5
1	5	150	700	8	6
1	6	180	700	8	7
1	7	210	700	8	8
1	8	240	700	8	9
1	9	270	700	8	10
1	10	300	700	8	11
1	11	330	700	8	12
1	12	360	700	8	13
1	13	390	700	8	14
1	14	420	700	8	15
1	15	450	700	8	16
1	16	480	700	8	17
1	17	510	700	8	18
1	18	540	700	8	19
1	19	570	700	8	20
1	20	600	700	8	21
1	21	630	700	8	22
1	22	660	700	8	23
1	23	690	700	8	24
1	24	720	700	8	25
1	25	750	700	8	26
1	26	780	700	8	27
1	27	810	700	8	28
1	28	840	700	8	29
1	29	870	700	8	30
1	30	900	700	8	31
1	31	930	700	8	32
1	32	0	600	7	1
1	33	30	600	7	2
1	34	60	600	7	3
1	35	90	600	7	4
1	36	120	600	7	5
1	37	150	600	7	6
1	38	180	600	7	7
1	39	210	600	7	8
1	40	240	600	7	9
1	41	270	600	7	10
1	42	300	600	7	11
1	43	330	600	7	12
1	44	360	600	7	13
1	45	390	600	7	14
1	46	420	600	7	15
1	47	450	600	7	16
1	48	480	600	7	17
1	49	510	600	7	18
1	50	540	600	7	19
1	51	570	600	7	20
1	52	600	600	7	21
1	53	630	600	7	22
1	54	660	600	7	23
1	55	690	600	7	24
1	56	720	600	7	25
1	57	750	600	7	26
1	58	780	600	7	27
1	59	810	600	7	28
1	60	840	600	7	29
1	61	870	600	7	30
1	62	900	600	7	31
1	63	930	600	7	32
4	0	0	500	6	1
4	1	30	500	6	2
4	2	60	500	6	3
4	3	90	500	6	4
4	4	120	500	6	5
4	5	150	500	6	6
4	6	180	500	6	7
4	7	210	500	6	8
4	8	240	500	6	9
4	9	270	500	6	10
4	10	300	500	6	11
4	11	330	500	6	12
4	12	360	500	6	13
4	13	390	500	6	14
4	14	420	500	6	15
4	15	450	500	6	16
4	16	480	500	6	17
4	17	510	500	6	18
4	18	540	500	6	19
4	19	570	500	6	20
4	20	600	500	6	21
4	21	630	500	6	22
4	22	660	500	6	23
4	23	690	500	6	24
4	24	720	500	6	25
4	25	750	500	6	26
4	26	780	500	6	27
4	27	810	500	6	28
4	28	840	500	6	29
4	29	870	500	6	30
4	30	900	500	6	31
4	31	930	500	6	32
4	32	0	400	5	1
4	33	30	400	5	2
4	34	60	400	5	3
4	35	90	400	5	4
4	36	120	400	5	5
4	37	150	400	5	6
4	38	180	400	5	7
4	39	210	400	5	8
4	40	240	400	5	9
4	41	270	400	5	10
4	42	300	400	5	11
4	43	330	400	5	12
4	44	360	400	5	13
4	45	390	400	5	14
4	46	420	400	5	15
4	47	450	400	5	16
4	48	480	400	5	17
4	49	510	400	5	18
4	50	540	400	5	19
4	51	570	400	5	20
4	52	600	400	5	21
4	53	630	400	5	22
4	54	660	400	5	23
4	55	690	400	5	24
4	56	720	400	5	25
4	57	750	400	5	26
4	58	780	400	5	27
4	59	810	400	5	28
4	60	840	400	5	29
4	61	870	400	5	30
4	62	900	400	5	31
4	63	930	400	5	32
5	0	0	300	4	1
5	1	30	300	4	2
5	2	60	300	4	3
5	3	90	300	4	4
5	4	120	300	4	5
5	5	150	300	4	6
5	6	180	300	4	7
5	7	210	300	4	8
5	8	240	300	4	9
5	9	270	300	4	10
5	10	300	300	4	11
5	11	330	300	4	12
5	12	360	300	4	13
5	13	390	300	4	14
5	14	420	300	4	15
5	15	450	300	4	16
5	16	480	300	4	17
5	17	510	300	4	18
5	18	540	300	4	19
5	19	570	300	4	20
5	20	600	300	4	21
5	21	630	300	4	22
5	22	660	300	4	23
5	23	690	300	4	24
5	24	720	300	4	25
5	25	750	300	4	26
5	26	780	300	4	27
5	27	810	300	4	28
5	28	840	300	4	29
5	29	870	300	4	30
5	30	900	300	4	31
5	31	930	300	4	32
5	32	0	200	3	1
5	33	30	200	3	2
5	34	60	200	3	3
5	35	90	200	3	4
5	36	120	200	3	5
5	37	150	200	3	6
5	38	180	200	3	7
5	39	210	200	3	8
5	40	240	200	3	9
5	41	270	200	3	10
5	42	300	200	3	11
5	43	330	200	3	12
5	44	360	200	3	13
5	45	390	200	3	14
5	46	420	200	3	15
5	47	450	200	3	16
5	48	480	200	3	17
5	49	510	200	3	18
5	50	540	200	3	19
5	51	570	200	3	20
5	52	600	200	3	21
5	53	630	200	3	22
5	54	660	200	3	23
5	55	690	200	3	24
5	56	720	200	3	25
5	57	750	200	3	26
5	58	780	200	3	27
5	59	810	200	3	28
