#uplink	channel	x [mm]	y [mm]	stairs 	sensor
0	0	0	0	0	0
0	1	30	0	0	1
0	2	60	0	0	2
0	3	90	0	0	3
0	4	120	0	0	4
0	5	150	0	0	5
0	6	180	0	0	6
0	7	210	0	0	7
0	8	240	0	0	8
0	9	270	0	0	9
0	10	300	0	0	10
0	11	330	0	0	11
0	12	360	0	0	12
0	13	390	0	0	13
0	14	420	0	0	14
0	15	450	0	0	15
0	16	480	0	0	16
0	17	510	0	0	17
0	18	540	0	0	18
0	19	570	0	0	19
0	20	600	0	0	20
0	21	630	0	0	21
0	22	660	0	0	22
0	23	690	0	0	23
0	24	720	0	0	24
0	25	750	0	0	25
0	26	780	0	0	26
0	27	810	0	0	27
0	28	840	0	0	28
0	29	870	0	0	29
0	30	900	0	0	30
0	31	930	0	0	31
0	32	0	100	1	0
0	33	30	100	1	1
0	34	60	100	1	2
0	35	90	100	1	3
0	36	120	100	1	4
0	37	150	100	1	5
0	38	180	100	1	6
0	39	210	100	1	7
0	40	240	100	1	8
0	41	270	100	1	9
0	42	300	100	1	10
0	43	330	100	1	11
0	44	360	100	1	12
0	45	390	100	1	13
0	46	420	100	1	14
0	47	450	100	1	15
0	48	480	100	1	16
0	49	510	100	1	17
0	50	540	100	1	18
0	51	570	100	1	19
0	52	600	100	1	20
0	53	630	100	1	21
0	54	660	100	1	22
0	55	690	100	1	23
0	56	720	100	1	24
0	57	750	100	1	25
0	58	780	100	1	26
0	59	810	100	1	27
0	60	840	100	1	28
0	61	870	100	1	29
0	62	900	100	1	30
0	63	930	100	1	31
