#uplink	channel	x [mm]	y [mm]	stairs 	sensor
0	0	245.25	161	8	1
0	1	228.9	161	8	2
0	2	212.55	161	8	3
0	3	196.2	161	8	4
0	4	179.85	161	8	5
0	5	163.5	161	8	6
0	6	147.15	161	8	7
0	7	130.8	161	8	8
0	8	114.45	161	8	9
0	9	98.1	161	8	10
0	10	81.75	161	8	11
0	11	65.4	161	8	12
0	12	49.05	161	8	13
0	13	32.7	161	8	14
0	14	16.35	161	8	15
0	15	0	161	8	16
0	16	245.25	138	7	1
0	17	228.9	138	7	2
0	18	212.55	138	7	3
0	19	196.2	138	7	4
0	20	179.85	138	7	5
0	21	163.5	138	7	6
0	22	147.15	138	7	7
0	23	130.8	138	7	8
0	24	114.45	138	7	9
0	25	98.1	138	7	10
0	26	81.75	138	7	11
0	27	65.4	138	7	12
0	28	49.05	138	7	13
0	29	32.7	138	7	14
0	30	16.35	138	7	15
0	31	0	138	7	16
0	32	245.25	115	6	1
0	33	228.9	115	6	2
0	34	212.55	115	6	3
0	35	196.2	115	6	4
0	36	179.85	115	6	5
0	37	163.5	115	6	6
0	38	147.15	115	6	7
0	39	130.8	115	6	8
0	40	114.45	115	6	9
0	41	98.1	115	6	10
0	42	81.75	115	6	11
0	43	65.4	115	6	12
0	44	49.05	115	6	13
0	45	32.7	115	6	14
0	46	16.35	115	6	15
0	47	0	115	6	16
0	48	245.25	92	5	1
0	49	228.9	92	5	2
0	50	212.55	92	5	3
0	51	196.2	92	5	4
0	52	179.85	92	5	5
0	53	163.5	92	5	6
0	54	147.15	92	5	7
0	55	130.8	92	5	8
0	56	114.45	92	5	9
0	57	98.1	92	5	10
0	58	81.75	92	5	11
0	59	65.4	92	5	12
0	60	49.05	92	5	13
0	61	32.7	92	5	14
0	62	16.35	92	5	15
0	63	0	92	5	16
1	0	245.25	69	4	1
1	1	228.9	69	4	2
1	2	212.55	69	4	3
1	3	196.2	69	4	4
1	4	179.85	69	4	5
1	5	163.5	69	4	6
1	6	147.15	69	4	7
1	7	130.8	69	4	8
1	8	114.45	69	4	9
1	9	98.1	69	4	10
1	10	81.75	69	4	11
1	11	65.4	69	4	12
1	12	49.05	69	4	13
1	13	32.7	69	4	14
1	14	16.35	69	4	15
1	15	0	69	4	16
1	16	245.25	46	3	1
1	17	228.9	46	3	2
1	18	212.55	46	3	3
1	19	196.2	46	3	4
1	20	179.85	46	3	5
1	21	163.5	46	3	6
1	22	147.15	46	3	7
1	23	130.8	46	3	8
1	24	114.45	46	3	9
1	25	98.1	46	3	10
1	26	81.75	46	3	11
1	27	65.4	46	3	12
1	28	49.05	46	3	13
1	29	32.7	46	3	14
1	30	16.35	46	3	15
1	31	0	46	3	16
1	32	245.25	23	2	1
1	33	228.9	23	2	2
1	34	212.55	23	2	3
1	35	196.2	23	2	4
1	36	179.85	23	2	5
1	37	163.5	23	2	6
1	38	147.15	23	2	7
1	39	130.8	23	2	8
1	40	114.45	23	2	9
1	41	98.1	23	2	10
1	42	81.75	23	2	11
1	43	65.4	23	2	12
1	44	49.05	23	2	13
1	45	32.7	23	2	14
1	46	16.35	23	2	15
1	47	0	23	2	16
1	48	245.25	0	1	1
1	49	228.9	0	1	2
1	50	212.55	0	1	3
1	51	196.2	0	1	4
1	52	179.85	0	1	5
1	53	163.5	0	1	6
1	54	147.15	0	1	7
1	55	130.8	0	1	8
1	56	114.45	0	1	9
1	57	98.1	0	1	10
1	58	81.75	0	1	11
1	59	65.4	0	1	12
1	60	49.05	0	1	13
1	61	32.7	0	1	14
1	62	16.35	0	1	15
1	63	0	0	1	16
